"propertyId","rentPrice","area","bathrooms","rooms","garages","latitude","longitude","address","suites","rentPeriodId","condominiumPrice","iptu"
"66341050","1200","100","2","3","1","-27.594298","-48.586727","Rua Gustavo Barroso","1","MON","430","77"
"66241670","3200","100","2","3","2","-27.677036","-48.48443","Campeche, 1300","1","MON","500","700"
"66319521","3800","162","2","3","1","-27.68902","-48.48461","Rua das Corticeiras, 109","1","YEA","628","1021"
"65886639","4500","73","2","2","1","-27.664573","-48.477711","Nivaldo Dias","1","MON","600","1000"
"65736807","1900","68","2","2","1","-27.579175","-48.543031","Rua Frei Caneca, 450","1","MON","550",NA
"64906340","1800","95","2","2","1","-27.606158","-48.534014","Hipólito Mafra","1","MON","593","1950"
"66471513","1250","49","3","2","1","-27.5932366","-48.5437358","Rua Herman Blumenau, 95","2","MON","800","123"
"64478768","250","45","1","1","1","-27.426684","-48.447124","Clorinda Ventimiglia, 465","0","DAY",NA,NA
"60984129","450","70","2","2","1","-27.409789","-48.424315","Luiz Boiteux Piazza, 4615","1","DAY","0","0"
"65190372","6000","302","5","4","3","-27.242339","-50.218856","Rui Barbosa, 670","2","MON",NA,NA
"65811747","2000","90","3","3","2","-27.600377","-48.515352","João Pio Duarte Silva","1","MON",NA,NA
"58345023","1000","110","3","4","2","-27.242339","-50.218856","Armando Calil Bulos, 6585","2","DAY","1","1"
"65530480","1600","95","3","2","1","-27.443458","-48.505198",NA,"2","DAY",NA,NA
"57415609","4000","68.39","1","1","1","-27.431845","-48.478125","Rodovia Tertuliano Brito Xavier","1","MON","850","1800"
"62207568","750","80","2","3","1","-27.427789","-48.47063","Celso Henrique Kolben Janczeski, 88","1","DAY","0","0"
"63562803","1600","85","2","3","2","-27.5944444","-48.5752778","Rua Marcelino Simas","0","MON","521",NA
"61112522","1700","134","3","3","1","-27.600067","-48.511927","João Pio Duarte Silva, 480","1","MON",NA,"74"
"62770295","400",NA,"1","2","0","-27.424984","-48.438979","Rua da Paz","0","DAY","0",NA
"63492731","1900",NA,"2","2","2","-27.593236","-48.543735","Rua Almirante Lamego","1","MON","845",NA
"63301692","360","35","1","2","1","-27.436816","-48.393119","Peixe Rei, 55","0","DAY",NA,NA
"59889794","650","105","2","3","1","-27.242339","-50.218856",NA,"1","DAY","400","0"
"66341447","1100","71","1","2","1","-27.593738","-48.554664","Rua Tenente Silveira","0","MON","451","108"
"63668929","1100","73","1","2","1","-27.5805556","-48.5961111",NA,"0","MON","250",NA
"65330041","2900","110","3","3","1","-27.578449","-48.5362308",NA,"1","MON","750","144"
"63924054","1100","51","1","1","1","-27.57514","-48.509227","Rua Pastor William Richard Schisler Filho, 655","0","MON","300",NA
"64960281","3000","98","2","3","1","-27.672459","-48.483545","Avenida Campeche","1","MON","550",NA
"59608731","650",NA,"1","2","1","-27.422163","-48.403668",NA,"1","DAY",NA,NA
"58961076","3800","99","2","2","2","-27.589454","-48.501602","Rua Vereador Ramon Filomeno, 357","1","MON","1038",NA
"66241517","1950","80","2","2","1","-27.671796","-48.4823","Radialista Dakir Polidoro, 223","1","MON","470","800"
"66353967","210","63","1","1","0","-48.401774","-27.42329","Rua das Gaivotas","0","DAY",NA,NA
"66361178","2600","246.4","4","3","2","-27.590475","-48.558443",NA,"3","MON","1218",NA
"65141923","6000","183","3","3","2","-27.444855","-48.493846","Avenida dos Dourados","2","YEA",NA,NA
"65618273","1900","86.21","2","2","1","-27.442449","-48.501281","Avenida das Raias","1","MON","570","101"
"65904398","1800","70","2","2","2","-27.652217","-48.474589",NA,"1","MON","400","795"
"61200315","280","45","1","1","1","-27.242339","-50.218856","José Daux, 310","0","DAY","0","0"
"63075758","4500","400","5","4","3","-27.588941","-48.55729","Almirante Lamego, 1090","2","YEA",NA,NA
"63579341","900",NA,"2","3","2","-27.425197","-48.43981","Rua Berta Lutz","1","DAY",NA,NA
"57505674","250","50","1","1","1","-27.427832","-48.459734","Doutor Antônio Prudente de Moraes, 762","0","DAY","0","0"
"63499430","4000","300","5","4","2","-27.578449","-48.5362308",NA,"2","MON","1040",NA
"66394817","650",NA,"1","2","1","-27.5952778","-48.5961111",NA,"0","MON","280","55"
"66341050","1200","100","2","3","1","-27.594298","-48.586727","Rua Gustavo Barroso","1","MON","430","77"
"66241670","3200","100","2","3","2","-27.677036","-48.48443","Campeche, 1300","1","MON","500","700"
"66319521","3800","162","2","3","1","-27.68902","-48.48461","Rua das Corticeiras, 109","1","YEA","628","1021"
"65886639","4500","73","2","2","1","-27.664573","-48.477711","Nivaldo Dias","1","MON","600","1000"
"65736807","1900","68","2","2","1","-27.579175","-48.543031","Rua Frei Caneca, 450","1","MON","550",NA
"64906340","1800","95","2","2","1","-27.606158","-48.534014","Hipólito Mafra","1","MON","593","1950"
"66471513","1250","49","3","2","1","-27.5932366","-48.5437358","Rua Herman Blumenau, 95","2","MON","800","123"
"64478768","250","45","1","1","1","-27.426684","-48.447124","Clorinda Ventimiglia, 465","0","DAY",NA,NA
"60984129","450","70","2","2","1","-27.409789","-48.424315","Luiz Boiteux Piazza, 4615","1","DAY","0","0"
"65190372","6000","302","5","4","3","-27.242339","-50.218856","Rui Barbosa, 670","2","MON",NA,NA
"65811747","2000","90","3","3","2","-27.600377","-48.515352","João Pio Duarte Silva","1","MON",NA,NA
"58345023","1000","110","3","4","2","-27.242339","-50.218856","Armando Calil Bulos, 6585","2","DAY","1","1"
"65530480","1600","95","3","2","1","-27.443458","-48.505198",NA,"2","DAY",NA,NA
"57415609","4000","68.39","1","1","1","-27.431845","-48.478125","Rodovia Tertuliano Brito Xavier","1","MON","850","1800"
"62207568","750","80","2","3","1","-27.427789","-48.47063","Celso Henrique Kolben Janczeski, 88","1","DAY","0","0"
"63562803","1600","85","2","3","2","-27.5944444","-48.5752778","Rua Marcelino Simas","0","MON","521",NA
"61112522","1700","134","3","3","1","-27.600067","-48.511927","João Pio Duarte Silva, 480","1","MON",NA,"74"
"62770295","400",NA,"1","2","0","-27.424984","-48.438979","Rua da Paz","0","DAY","0",NA
